lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
42,1,94.5,10,13,4,3,0,0,0,1
273,0,94.5,6,24,4,2,1,0,0,0
193,0,120.0,6,20,3,2,1,0,0,0
258,0,110.0,10,16,3,0,1,0,0,0
245,0,110.0,7,6,4,4,2,0,0,0
15,0,92.0,2,18,3,3,0,0,0,1
3,1,137.33,5,26,4,3,0,0,3,1
28,1,133.95,5,1,4,2,2,0,0,1
40,1,81.0,1,25,2,1,1,0,0,1
11,0,97.0,12,6,4,1,0,3,0,1
2,0,106.4,10,10,3,1,1,0,0,1
74,0,93.6,11,4,4,2,0,0,0,0
16,0,80.75,5,8,3,2,2,0,0,1
44,0,75.0,2,17,3,3,0,0,0,1
0,1,159.75,10,7,4,4,0,0,3,1
31,0,168.3,7,9,4,1,2,0,3,0
336,0,70.0,9,21,3,4,1,0,0,1
28,1,220.53,9,22,4,3,1,0,5,1
76,0,80.1,3,31,4,3,0,3,0,0
53,2,123.3,9,3,4,1,1,0,3,1
90,0,81.62,4,21,3,3,0,0,0,1
61,1,207.64,9,7,4,5,2,0,5,1
62,1,63.49,3,13,4,2,2,0,3,1
106,0,152.1,8,24,4,4,0,0,3,0
112,0,105.3,7,18,4,2,1,0,0,0
68,2,108.0,10,18,4,3,0,3,0,1
0,1,110.0,3,6,4,1,2,0,3,1
141,1,72.25,4,8,3,2,1,0,0,0
1,0,90.0,1,29,4,1,0,0,0,1
10,1,89.89,12,3,4,2,2,0,0,1
68,0,121.5,5,10,4,3,0,0,0,0
19,0,90.0,10,6,3,3,0,0,0,1
126,4,110.7,10,9,4,2,2,0,1,1
179,1,90.95,7,17,4,2,2,0,0,1
93,2,76.5,8,15,4,3,2,0,0,0
79,0,87.3,4,2,4,1,1,0,0,0
188,0,130.0,6,15,4,2,0,0,0,0
124,0,94.5,8,8,3,1,2,1,0,1
220,0,128.0,9,17,3,1,2,1,0,0
148,0,90.9,8,26,4,2,1,0,0,0
5,1,139.13,9,16,4,1,0,0,0,1
310,2,68.57,12,27,4,10,2,3,0,0
28,1,129.55,6,30,4,3,1,3,0,1
45,0,86.4,11,19,4,1,1,0,0,0
56,1,207.9,8,13,4,1,2,0,5,1
159,2,83.5,10,30,4,2,2,0,1,0
26,0,147.0,10,2,4,1,2,0,0,0
20,1,231.0,7,6,4,1,0,0,5,1
138,0,71.0,4,23,3,1,2,0,0,1
39,0,66.4,1,24,3,1,2,0,3,1
62,2,118.8,12,8,4,2,0,0,0,1
256,1,115.0,6,15,3,2,0,1,0,0
37,0,94.5,9,16,4,2,0,0,0,1
85,0,108.9,7,3,4,3,2,0,0,0
40,1,126.9,5,13,4,2,2,0,0,1
49,3,109.8,9,4,4,0,2,0,0,1
219,0,76.67,9,4,3,2,1,0,0,1
74,0,116.1,6,17,4,2,0,3,0,0
163,0,110.0,9,8,3,3,0,0,0,0
135,1,94.5,8,23,4,5,0,0,0,0
158,1,69.92,4,16,4,1,2,0,1,1
7,1,124.67,8,26,4,2,1,3,0,1
83,1,97.75,3,21,4,3,1,3,0,1
0,1,50.0,3,10,2,1,0,0,0,1
22,2,139.0,9,15,4,2,0,3,0,1
31,0,161.1,7,23,4,1,1,0,0,1
1,1,111.65,9,22,4,3,0,0,0,1
20,1,154.0,7,17,4,0,1,0,0,1
162,2,85.17,9,4,3,2,1,1,0,1
60,0,72.25,7,10,3,0,2,0,0,1
17,2,106.0,12,28,4,0,1,0,0,1
127,1,101.13,7,26,4,6,2,0,3,1
103,0,80.0,5,4,3,3,0,0,0,1
28,1,97.63,4,17,4,1,2,0,0,0
21,1,117.0,10,7,4,2,0,0,3,1
21,1,210.0,11,7,4,2,1,0,3,1
37,0,0.0,1,22,4,0,0,0,0,1
189,0,72.25,8,8,3,3,1,0,0,1
174,0,162.9,10,29,4,2,2,0,5,0
82,2,72.25,11,2,4,2,1,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
5,2,90.0,8,24,4,3,1,0,0,1
115,0,76.0,2,27,3,2,2,0,0,1
90,1,96.3,4,25,4,1,1,0,0,1
240,2,67.5,12,10,4,1,2,3,0,0
83,0,59.6,3,7,4,1,1,3,0,1
45,0,143.65,3,28,4,3,1,0,3,0
2,1,91.68,12,23,4,4,2,0,0,1
8,1,84.7,10,27,4,1,0,3,0,1
172,1,137.7,8,25,4,3,0,0,0,0
8,2,84.0,12,4,2,2,2,0,0,1
4,1,110.53,2,25,4,11,4,0,3,0
7,1,67.0,11,17,2,1,0,0,0,1
76,0,49.07,11,8,3,1,2,0,0,1
1,2,139.5,9,16,4,1,0,0,0,1
68,2,65.0,12,2,2,1,0,0,0,1
11,0,121.0,5,30,2,3,1,0,0,0
180,1,135.9,9,3,4,1,2,0,0,0
235,0,106.25,10,27,4,3,1,0,0,0
125,1,85.5,6,30,4,1,0,3,0,1
39,0,40.67,3,4,3,2,1,0,0,1
57,0,111.6,5,18,3,2,0,0,0,1
73,0,170.17,5,7,4,4,2,0,5,0
0,0,98.0,8,7,4,1,0,0,0,0
148,0,105.3,5,5,4,3,0,0,0,1
26,0,65.0,8,8,2,0,1,0,0,1
12,2,80.85,9,9,4,2,0,0,0,1
210,0,167.95,8,2,4,4,0,0,5,0
86,1,73.95,3,20,4,2,2,0,0,1
49,1,168.3,8,20,4,3,2,0,3,0
166,0,110.0,11,1,3,3,0,0,0,0
59,1,131.4,8,8,4,1,1,0,0,1
265,1,115.0,6,24,3,2,0,1,0,0
301,0,52.0,11,18,3,2,0,0,0,0
18,1,151.0,7,3,4,0,1,0,0,1
13,0,87.0,2,21,3,0,2,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
67,1,123.3,7,20,4,2,0,0,3,1
4,0,59.0,1,25,2,0,1,0,0,1
6,0,104.0,4,16,4,1,1,3,0,0
1,3,166.0,8,3,4,1,0,0,3,1
4,1,65.0,11,1,2,3,0,0,0,1
21,0,72.38,11,22,4,2,0,3,0,0
58,0,81.0,1,27,3,3,0,0,0,1
8,0,126.0,5,10,4,2,0,0,0,1
35,0,63.0,3,25,3,2,2,0,0,0
111,1,93.75,5,9,4,3,1,3,0,1
13,1,96.0,1,20,4,2,0,0,0,1
2,0,67.0,12,21,2,2,0,0,0,1
106,0,141.9,8,20,3,1,2,1,0,1
27,0,64.8,1,5,3,1,0,3,0,1
229,0,80.75,10,22,4,2,2,0,0,0
302,0,100.0,9,16,3,2,1,0,0,0
5,3,127.4,10,30,4,3,2,0,0,1
45,2,185.4,10,17,4,0,1,0,3,1
31,0,75.0,9,16,3,2,1,0,0,0
292,0,86.7,12,13,4,4,0,0,3,0
107,1,87.5,11,13,4,2,2,0,0,1
204,0,72.75,10,9,3,2,2,0,0,1
94,0,146.7,7,7,4,3,2,0,3,0
18,0,75.0,1,26,4,5,0,0,0,1
114,2,186.3,7,30,4,1,0,0,5,1
3,0,107.0,3,4,4,2,0,0,0,1
1,1,95.0,11,5,4,2,0,3,0,1
28,1,105.0,9,30,4,2,0,0,0,0
36,0,135.9,8,20,4,1,2,0,0,0
22,0,97.0,11,26,4,2,0,0,0,0
2,2,142.0,12,28,4,2,0,0,0,1
169,0,130.05,7,25,4,5,1,0,3,0
75,0,105.0,10,30,3,0,2,1,0,0
35,1,100.1,3,13,4,0,2,0,0,1
9,1,79.0,11,11,2,2,0,0,0,1
14,3,166.0,9,7,4,5,1,0,5,1
55,0,74.8,3,16,3,4,1,0,0,0
227,0,106.0,10,10,2,2,1,0,4,0
26,0,85.0,11,1,4,3,2,0,1,1
71,0,85.5,4,18,4,1,1,3,0,1
3,1,75.0,1,5,4,1,0,3,0,1
93,1,109.83,8,13,4,1,0,0,1,1
87,0,75.0,12,15,3,3,0,0,0,1
188,1,164.25,8,8,4,1,1,1,0,0
292,0,115.0,7,21,3,2,0,1,0,0
16,0,133.6,12,10,4,7,4,0,5,1
159,1,70.0,4,9,3,1,1,0,0,1
97,0,84.43,5,1,4,4,2,3,0,0
332,0,77.23,9,22,4,3,1,0,0,0
168,0,85.0,4,22,3,2,1,0,0,0
145,0,94.5,8,29,4,1,2,1,0,0
0,0,79.0,3,14,2,2,1,0,0,1
120,2,88.38,8,20,3,5,2,1,0,1
16,1,154.4,9,18,4,3,2,0,0,0
2,0,65.0,8,12,2,1,0,0,0,1
34,0,65.0,7,19,2,1,0,0,0,1
18,1,105.64,9,15,4,3,1,0,3,1
317,0,120.0,9,15,4,2,0,0,0,0
280,0,110.0,9,19,3,2,1,0,0,0
59,1,123.98,9,5,4,3,1,0,3,1
20,1,156.0,5,21,4,1,0,0,3,1
179,2,96.3,7,2,4,1,2,0,0,1
35,1,94.5,4,22,4,2,1,3,0,1
85,0,107.1,8,18,4,1,0,3,0,0
56,0,69.6,2,26,4,2,0,0,0,0
113,3,117.3,12,6,4,4,0,1,0,1
33,0,59.0,1,25,2,1,1,0,0,1
137,1,105.3,7,12,4,3,0,0,0,1
116,1,122.4,11,16,4,3,0,0,3,0
296,0,96.0,9,21,3,4,0,1,0,1
0,1,0.0,9,21,1,4,1,0,3,1
2,1,85.0,7,25,2,1,1,0,0,1
79,0,105.0,4,30,3,3,2,1,0,1
5,1,109.0,3,14,4,3,1,0,0,1
32,0,70.0,12,27,3,5,1,0,0,1
91,0,113.4,10,12,4,2,0,0,0,1
7,1,112.0,5,21,3,1,1,1,0,1
35,0,75.0,10,26,3,3,1,0,3,1
17,0,65.0,9,20,2,1,2,0,0,1
86,1,32.5,5,20,3,2,1,0,0,1
3,0,176.0,5,27,4,2,0,0,3,0
91,0,80.0,4,4,3,2,1,0,0,0
132,0,72.25,7,1,3,2,1,0,0,1
0,0,80.75,6,13,3,2,1,0,0,1
145,0,80.75,5,18,3,4,0,0,0,1
118,0,110.0,6,6,3,1,1,0,0,1
33,1,85.5,9,14,4,1,1,0,0,1
6,1,88.0,12,12,4,0,1,3,0,1
107,1,124.2,11,4,4,2,1,1,0,0
117,0,105.26,6,9,4,3,2,3,0,1
152,2,140.7,8,4,4,3,0,0,0,0
56,1,156.6,12,19,4,0,1,0,5,1
84,1,149.18,10,31,4,3,1,1,0,1
34,1,103.5,10,12,4,2,1,0,0,1
1,1,179.0,6,14,4,2,0,0,0,1
162,0,168.3,7,4,4,0,1,0,5,0
14,0,100.0,10,15,3,2,0,0,0,1
108,0,92.4,5,4,4,3,0,0,0,1
6,0,96.25,12,7,4,0,1,0,1,1
27,1,115.0,9,18,4,2,1,3,0,1
60,0,75.0,11,25,3,2,2,0,0,1
2,0,79.6,1,3,4,2,2,0,3,1
6,1,75.0,3,20,3,0,2,0,0,1
26,0,87.0,3,2,3,4,1,0,0,1
35,2,74.8,11,29,4,11,4,3,0,0
151,0,80.0,1,19,3,3,0,0,0,1
46,1,90.55,10,2,4,2,2,0,3,1
75,0,67.83,10,20,3,5,1,0,1,1
57,0,94.5,4,11,4,2,1,3,0,0
74,0,101.5,9,18,3,2,0,1,0,1
273,0,95.0,5,13,3,2,1,0,0,0
5,2,190.0,12,8,4,2,0,0,5,1
13,1,79.0,12,17,2,2,0,0,0,1
69,1,140.4,6,30,4,3,2,0,3,1
99,0,121.5,7,16,4,1,0,0,0,0
187,0,105.3,7,19,4,2,0,0,3,0
6,0,66.3,12,15,4,3,1,3,0,1
54,0,66.5,10,16,3,2,2,0,0,1
47,1,125.1,9,9,4,2,0,3,0,0
141,0,90.0,9,20,3,0,1,0,0,1
104,0,141.3,7,18,4,4,1,0,3,0
76,0,59.5,3,25,4,2,1,0,0,0
148,0,67.0,12,30,3,4,1,0,0,1
39,1,99.86,12,27,4,2,2,0,1,1
212,0,88.4,12,29,4,4,2,0,0,0
50,0,99.0,9,2,4,1,0,3,0,0
0,0,105.3,6,26,4,0,1,0,0,1
7,1,124.0,4,10,4,0,2,0,3,1
207,1,85.5,8,5,4,2,1,3,0,1
134,1,176.45,8,1,4,4,1,0,5,1
3,3,155.0,9,11,4,0,1,0,0,1
7,2,155.45,9,28,4,8,3,0,0,1
15,1,80.0,8,27,4,2,0,0,0,0
115,1,165.3,8,20,4,4,2,0,3,1
24,2,96.9,12,7,4,4,0,0,3,1
99,0,130.05,6,26,4,2,2,0,3,0
169,2,90.95,8,27,4,3,2,0,0,1
165,3,104.4,10,28,4,2,2,0,3,1
119,0,112.5,6,28,4,1,0,0,0,0
25,2,106.88,2,26,4,2,2,0,3,1
133,1,84.33,3,11,3,2,1,0,0,1
113,2,115.85,6,16,4,3,2,0,0,1
64,0,149.4,9,16,4,1,0,0,3,0
21,0,83.2,10,25,4,3,0,3,0,0
5,0,130.13,4,28,4,1,0,1,0,1
93,1,80.75,9,21,4,2,1,0,0,1
14,0,136.0,8,16,4,2,0,0,0,0
84,1,109.65,5,16,4,3,1,3,0,0
164,0,100.0,10,2,3,2,0,0,0,1
60,1,137.7,7,15,4,1,0,0,3,0
100,0,110.0,9,28,3,4,0,1,0,1
67,0,68.0,12,16,3,2,0,0,0,1
17,0,48.0,10,16,3,2,0,0,0,1
271,1,101.33,9,21,3,3,0,0,0,0
4,0,95.0,5,2,3,0,1,0,0,1
39,1,51.28,3,10,4,3,1,3,0,0
73,0,71.0,1,21,4,3,2,0,0,1
7,0,79.0,2,5,4,2,1,3,0,0
4,2,91.5,11,19,4,1,1,3,0,1
85,2,114.3,7,2,4,1,1,0,0,1
39,1,114.3,3,20,4,0,2,0,3,0
84,2,149.4,9,9,4,2,0,0,3,1
34,0,207.9,9,17,4,1,2,0,5,0
55,1,133.65,6,17,4,2,2,0,3,1
147,0,78.1,8,5,3,1,0,0,0,1
25,0,75.6,9,13,4,3,2,0,0,1
11,0,0.0,10,4,1,2,0,1,0,1
97,1,79.8,10,30,4,1,2,3,0,0
14,1,69.0,12,5,3,1,2,0,0,1
66,2,149.4,9,15,4,3,0,0,3,1
172,0,95.0,6,24,3,2,0,0,0,0
137,1,75.66,11,16,4,4,2,0,0,1
174,2,115.8,7,21,4,3,0,0,3,0
71,1,75.54,10,30,4,0,2,0,0,1
190,2,90.65,6,8,4,4,0,0,3,0
1,0,79.0,1,20,4,2,0,3,0,1
9,1,113.0,11,2,4,4,2,3,0,1
101,0,68.0,7,9,3,2,2,0,0,0
221,0,85.5,8,17,4,2,0,3,0,0
109,0,92.65,12,27,3,3,0,0,0,1
30,1,126.9,5,15,4,2,2,0,0,1
77,1,76.5,7,13,4,2,1,0,0,0
0,0,129.0,8,17,4,0,1,3,3,1
70,2,120.15,11,4,4,4,2,3,0,1
6,1,65.0,11,23,2,2,0,0,0,1
163,0,100.0,6,5,3,2,2,0,0,0
27,0,87.0,3,6,3,3,2,0,0,1
193,1,149.81,9,28,4,3,1,0,0,0
296,0,65.29,10,24,4,4,2,0,1,0
3,2,106.0,8,21,4,2,0,0,0,1
14,1,72.0,5,18,3,4,0,0,0,1
12,0,85.0,12,28,4,0,1,3,0,1
322,0,80.0,5,19,3,3,1,0,0,0
158,1,79.2,12,24,4,1,1,3,0,0
14,0,40.67,2,19,3,2,1,0,0,1
91,2,118.8,7,16,4,1,2,0,3,1
14,2,145.67,9,2,4,2,1,0,0,1
28,0,100.0,5,19,2,2,0,0,0,0
125,2,63.75,7,10,3,5,2,3,0,1
211,0,63.75,12,16,4,2,2,3,0,0
102,0,80.0,10,16,3,2,0,1,0,0
8,1,93.0,2,5,4,2,0,0,0,1
162,0,60.0,9,17,3,3,0,0,0,0
8,1,124.67,8,17,4,3,0,3,0,1
221,0,73.0,8,12,3,1,0,1,0,1
28,2,121.33,4,11,4,2,1,0,3,1
246,2,93.36,12,27,4,5,2,0,0,1
58,1,128.1,9,4,4,4,2,0,3,0
138,0,94.5,8,22,3,1,2,1,0,0
11,1,87.0,11,1,4,1,2,0,0,1
151,0,200.0,6,27,3,0,1,0,4,0
0,0,95.0,5,20,2,1,0,0,0,1
66,2,168.3,8,19,4,2,0,0,3,1
122,1,101.15,7,14,4,8,2,0,0,1
11,1,159.0,9,4,4,2,0,0,0,1
40,3,100.8,11,4,4,2,0,0,0,1
29,2,149.1,10,31,4,3,1,1,0,1
335,0,80.0,10,13,3,3,0,0,0,1
3,1,183.0,2,29,4,3,1,0,5,1
11,0,138.0,3,3,4,3,1,1,0,0
6,0,67.0,9,26,2,0,1,0,0,1
102,2,119.7,8,19,4,2,1,0,0,1
1,0,0.0,9,5,1,0,0,0,0,1
86,1,65.0,5,20,3,2,1,0,0,1
156,1,99.88,6,8,4,4,0,3,0,0
16,0,95.0,10,2,2,1,2,0,0,1
9,1,80.3,1,19,4,1,0,0,0,1
186,0,80.0,4,22,3,2,1,0,0,1
54,0,159.3,6,4,4,1,0,0,3,0
2,0,80.0,1,29,4,1,0,0,0,1
91,0,127.8,7,3,4,5,2,0,3,1
1,1,176.0,5,21,4,1,0,0,3,0
0,3,127.0,2,12,4,1,0,0,3,1
38,2,130.0,11,12,4,1,0,0,0,1
4,1,95.0,9,28,2,2,1,0,0,1
92,0,70.0,10,7,3,4,0,0,0,1
78,1,88.4,12,8,4,3,1,0,0,1
56,3,74.8,11,11,4,2,2,3,0,1
47,0,207.9,8,8,4,1,1,0,5,0
48,2,173.7,10,15,4,2,2,1,3,1
17,0,95.0,5,21,3,1,2,0,0,1
0,1,0.0,3,29,1,2,0,0,0,1
0,0,75.0,1,6,4,1,0,3,0,1
152,0,98.0,11,1,3,4,0,1,0,1
115,1,99.9,7,23,4,1,0,0,0,1
24,0,78.0,8,19,4,3,2,0,0,0
338,0,80.0,10,7,3,2,1,0,0,0
81,0,116.1,5,7,4,1,0,3,0,1
4,0,65.0,8,31,2,0,1,0,0,1
4,1,98.0,3,28,4,0,1,3,0,1
42,4,121.33,11,11,4,2,1,0,0,1
61,0,35.2,10,4,4,0,2,1,0,0
9,0,167.0,4,22,4,2,1,0,3,0
112,2,168.3,5,20,4,2,0,0,3,1
139,2,99.45,5,5,4,3,1,0,0,1
25,0,72.93,12,4,4,5,2,0,0,1
1,1,101.0,4,7,4,2,0,0,0,1
292,0,91.79,12,30,4,3,2,0,0,0
53,0,125.1,5,6,4,1,0,3,0,0
4,1,106.14,8,14,4,5,2,0,0,1
187,0,111.35,8,28,4,5,2,0,0,0
1,1,126.0,10,5,4,0,1,0,0,0
221,2,115.5,9,29,4,3,0,0,0,0
212,2,90.95,7,27,4,10,4,0,0,0
42,1,106.8,11,25,4,3,0,0,0,1
239,0,112.2,6,15,3,2,0,1,0,0
10,0,66.0,1,28,2,1,0,0,0,1
42,0,100.5,12,28,4,1,1,0,1,1
60,1,126.9,5,21,4,1,1,0,0,1
83,2,96.3,4,10,4,1,2,0,0,1
33,0,140.4,3,24,4,2,0,0,3,0
305,0,89.0,11,4,4,2,1,0,0,0
152,2,110.65,8,5,4,2,1,0,0,0
0,1,117.05,10,15,4,1,0,0,0,1
255,1,80.85,6,3,4,1,0,0,0,0
3,0,65.0,9,27,2,0,2,0,0,1
145,2,123.3,8,17,4,2,0,0,3,1
6,0,93.2,8,14,4,3,2,0,0,1
34,0,99.9,4,12,3,1,0,0,0,1
16,1,138.0,9,8,4,1,0,0,0,1
22,1,105.64,9,15,4,3,1,0,3,1
81,0,131.4,8,5,4,2,0,0,3,0
305,2,79.5,12,29,4,3,0,3,0,0
4,0,81.0,2,5,4,2,0,3,0,1
183,1,90.9,7,16,4,1,2,0,0,1
82,1,181.7,7,9,4,1,0,0,3,1
238,0,55.08,11,13,3,0,2,0,0,0
1,0,117.0,2,27,4,1,1,0,3,1
175,0,76.5,8,5,4,1,0,0,0,0
309,0,101.0,5,13,3,2,1,1,0,0
231,1,100.3,9,11,4,2,2,0,1,0
8,0,108.57,5,10,4,2,0,0,3,0
135,0,99.45,7,24,4,3,2,0,0,0
3,1,201.0,8,1,4,0,1,0,5,1
37,2,103.35,6,22,4,1,0,0,0,1
17,1,152.1,12,29,4,3,1,0,0,1
0,0,111.0,6,13,4,1,1,0,0,1
103,1,135.0,10,18,4,3,0,0,0,1
0,2,0.0,1,13,1,2,0,0,0,1
359,1,78.0,10,14,3,3,2,0,0,1
296,1,104.4,7,24,4,5,2,0,3,0
0,1,76.5,8,12,4,4,0,0,0,1
45,0,96.3,9,18,3,2,2,0,3,1
6,1,79.0,11,22,2,2,0,0,0,1
165,1,85.0,7,18,4,3,1,3,0,0
16,0,134.7,5,31,4,4,0,0,3,1
63,0,117.0,4,3,4,0,2,0,0,1
71,0,112.8,4,24,4,1,2,0,3,1
110,1,129.3,8,1,4,5,1,0,3,1
95,0,119.85,6,10,4,2,2,0,0,1
116,0,150.3,8,22,4,5,1,0,3,0
5,0,80.0,12,18,3,2,2,0,0,1
18,0,187.0,7,23,4,1,1,0,3,1
99,0,73.95,3,15,4,4,0,0,0,0
55,2,81.0,7,7,4,4,0,0,0,0
117,1,99.45,5,13,4,2,2,3,0,1
128,0,90.0,11,19,4,1,1,0,0,0
69,0,111.9,6,27,4,2,1,0,0,0
298,0,76.0,5,10,3,2,0,0,0,1
7,0,65.0,3,2,3,2,0,0,0,1
131,0,94.5,8,15,3,1,2,1,0,1
7,0,213.0,6,12,4,6,4,0,5,0
36,0,91.0,10,13,3,3,0,1,0,1
56,1,123.3,3,29,4,3,0,0,3,0
57,1,87.32,6,27,4,0,1,0,3,1
3,0,181.0,3,21,4,1,1,0,5,1
175,0,123.68,8,24,4,4,0,0,0,0
72,1,119.85,5,13,4,2,2,0,0,1
7,1,116.8,10,21,4,2,0,3,0,1
